bucket_from,bucket_to,delta_hours_median,delta_hours_p10,delta_hours_p90,n_events,n_pairs
P1-RRoute36,P2-RRoute19,4.238086971944444,4.238086971944444,4.238086971944444,1,1
P1-RRoute36,P2-RRoute20,0.48866989027777774,0.48866989027777774,0.48866989027777774,1,1
P1-RRoute36,P2-RRoute22,12.418976064722223,12.418976064722223,12.418976064722223,1,1
P1-RRoute36,P2-RRoute23,10.210557696944443,10.210557696944443,10.210557696944443,1,1
P1-RRoute36,P2-RRoute25,0.0,0.0,0.0,1,1
P1-RRoute36,P2-RRoute26,14.089036994722221,14.089036994722221,14.089036994722221,1,1
P1-RRoute36,P2-RRoute27,0.48866989027777774,0.48866989027777774,0.48866989027777774,1,1
P1-RRoute36,P2-RRoute30,0.0,0.0,0.0,1,1
P1-RRoute36,P2-RRoute31,0.0,0.0,0.0,1,1
P1-RRoute36,P2-RRoute32,12.711872953611111,12.711872953611111,12.711872953611111,1,1
P1-RRoute36,P2-RRoute33,0.6147228452777778,0.6147228452777778,0.6147228452777778,1,1
P1-RRoute36,P2-RRoute34,1.391669461111111,1.391669461111111,1.391669461111111,1,1
P1-RRoute36,P2-RRoute36,6.778250758611112,6.778250758611112,6.778250758611112,1,1
P1-RRoute36,P2-RRoute4,0.3078031075,0.3078031075,0.3078031075,1,1
P1-RRoute36,P2-RRoute5,1.0230098461111112,1.0230098461111112,1.0230098461111112,1,1
P1-RRoute36,P2-RRoute6,0.3078031075,0.3078031075,0.3078031075,1,1
P1-RRoute4,P1-RRoute10,0.0,0.0,0.0,1,1
P1-RRoute4,P1-RRoute11,4.238086971944444,4.238086971944444,4.238086971944444,1,1
P1-RRoute4,P1-RRoute12,0.0,0.0,0.0,1,1
P1-RRoute4,P1-RRoute13,0.0,0.0,0.0,1,1
P1-RRoute4,P1-RRoute14,0.0,0.0,0.0,1,1
P1-RRoute4,P1-RRoute17,0.0,0.0,0.0,1,1
P1-RRoute4,P1-RRoute18,1.1810283572222222,1.1810283572222222,1.1810283572222222,1,1
P1-RRoute4,P1-RRoute21,30.097354405277777,30.097354405277777,30.097354405277777,1,1
P1-RRoute4,P1-RRoute24,10.210557696944443,10.210557696944443,10.210557696944443,1,1
P1-RRoute4,P1-RRoute26,6.778250758611112,6.778250758611112,6.778250758611112,1,1
P1-RRoute4,P1-RRoute32,12.144660215,12.144660215,12.144660215,1,1
P1-RRoute4,P1-RRoute33,0.0,0.0,0.0,1,1
P1-RRoute4,P1-RRoute34,1.391669461111111,1.391669461111111,1.391669461111111,1,1
P1-RRoute4,P1-RRoute35,0.6147228452777778,0.6147228452777778,0.6147228452777778,1,1
P1-RRoute4,P1-RRoute36,0.0,0.0,0.0,1,1
P1-RRoute4,P1-RRoute4,0.0,0.0,0.0,1,1
P1-RRoute4,P1-RRoute7,0.0,0.0,0.0,1,1
P1-RRoute4,P2-RRoute02,14.307603562222221,14.307603562222221,14.307603562222221,1,1
P1-RRoute4,P2-RRoute10,9.195842970277779,9.195842970277779,9.195842970277779,1,1
P1-RRoute4,P2-RRoute11,0.6147228452777778,0.6147228452777778,0.6147228452777778,1,1
P1-RRoute4,P2-RRoute13,0.0,0.0,0.0,1,1
P1-RRoute4,P2-RRoute14,0.0,0.0,0.0,1,1
P1-RRoute4,P2-RRoute15,5.837026461111111,5.837026461111111,5.837026461111111,1,1
P1-RRoute4,P2-RRoute16,5.837026461111111,5.837026461111111,5.837026461111111,1,1
P1-RRoute4,P2-RRoute19,4.238086971944444,4.238086971944444,4.238086971944444,1,1
P1-RRoute4,P2-RRoute20,0.48866989027777774,0.48866989027777774,0.48866989027777774,1,1
P1-RRoute4,P2-RRoute22,12.418976064722223,12.418976064722223,12.418976064722223,1,1
P1-RRoute4,P2-RRoute23,10.210557696944443,10.210557696944443,10.210557696944443,1,1
P1-RRoute4,P2-RRoute25,0.0,0.0,0.0,1,1
P1-RRoute4,P2-RRoute26,14.089036994722221,14.089036994722221,14.089036994722221,1,1
P1-RRoute4,P2-RRoute27,0.48866989027777774,0.48866989027777774,0.48866989027777774,1,1
P1-RRoute4,P2-RRoute30,0.0,0.0,0.0,1,1
P1-RRoute4,P2-RRoute31,0.0,0.0,0.0,1,1
P1-RRoute4,P2-RRoute32,12.711872953611111,12.711872953611111,12.711872953611111,1,1
P1-RRoute4,P2-RRoute33,0.6147228452777778,0.6147228452777778,0.6147228452777778,1,1
P1-RRoute4,P2-RRoute34,1.391669461111111,1.391669461111111,1.391669461111111,1,1
P1-RRoute4,P2-RRoute36,6.778250758611112,6.778250758611112,6.778250758611112,1,1
P1-RRoute4,P2-RRoute4,0.3078031075,0.3078031075,0.3078031075,1,1
P1-RRoute4,P2-RRoute5,1.0230098461111112,1.0230098461111112,1.0230098461111112,1,1
P1-RRoute4,P2-RRoute6,0.3078031075,0.3078031075,0.3078031075,1,1
P1-RRoute5,P1-RRoute01,0.0,0.0,0.0,1,1
P1-RRoute5,P1-RRoute02,0.0,0.0,0.0,1,1
P1-RRoute5,P1-RRoute10,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute5,P1-RRoute11,5.086861886388888,5.086861886388888,5.086861886388888,1,1
P1-RRoute5,P1-RRoute12,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute5,P1-RRoute13,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute5,P1-RRoute14,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute5,P1-RRoute16,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute5,P1-RRoute17,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute5,P1-RRoute18,2.0298032716666667,2.0298032716666667,2.0298032716666667,1,1
P1-RRoute5,P1-RRoute19,0.0,0.0,0.0,1,1
P1-RRoute5,P1-RRoute20,0.0,0.0,0.0,1,1
P1-RRoute5,P1-RRoute21,30.946129319722225,30.946129319722225,30.946129319722225,1,1
P1-RRoute5,P1-RRoute22,0.0,0.0,0.0,1,1
P1-RRoute5,P1-RRoute23,0.47696995166666667,0.47696995166666667,0.47696995166666667,1,1
P1-RRoute5,P1-RRoute24,11.05933261138889,11.05933261138889,11.05933261138889,1,1
P1-RRoute5,P1-RRoute25,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute5,P1-RRoute26,7.627025673055555,7.627025673055555,7.627025673055555,1,1
P1-RRoute5,P1-RRoute3,0.0,0.0,0.0,1,1
P1-RRoute5,P1-RRoute32,12.993435129444444,12.993435129444444,12.993435129444444,1,1
P1-RRoute5,P1-RRoute33,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute5,P1-RRoute34,2.2404443755555556,2.2404443755555556,2.2404443755555556,1,1
P1-RRoute5,P1-RRoute35,1.4634977597222223,1.4634977597222223,1.4634977597222223,1,1
P1-RRoute5,P1-RRoute36,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute5,P1-RRoute4,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute5,P1-RRoute5,0.0,0.0,0.0,1,1
P1-RRoute5,P1-RRoute6,0.0,0.0,0.0,1,1
P1-RRoute5,P1-RRoute7,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute5,P1-RRoute8,0.0,0.0,0.0,1,1
P1-RRoute5,P1-RRoute9,0.0,0.0,0.0,1,1
P1-RRoute5,P2-RRoute02,15.156378476666667,15.156378476666667,15.156378476666667,1,1
P1-RRoute5,P2-RRoute10,10.044617884722223,10.044617884722223,10.044617884722223,1,1
P1-RRoute5,P2-RRoute11,1.4634977597222223,1.4634977597222223,1.4634977597222223,1,1
P1-RRoute5,P2-RRoute13,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute5,P2-RRoute14,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute5,P2-RRoute15,6.685801375555556,6.685801375555556,6.685801375555556,1,1
P1-RRoute5,P2-RRoute16,6.685801375555556,6.685801375555556,6.685801375555556,1,1
P1-RRoute5,P2-RRoute17,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute5,P2-RRoute18,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute5,P2-RRoute19,5.086861886388888,5.086861886388888,5.086861886388888,1,1
P1-RRoute5,P2-RRoute20,1.3374448047222223,1.3374448047222223,1.3374448047222223,1,1
P1-RRoute5,P2-RRoute21,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute5,P2-RRoute22,13.267750979166667,13.267750979166667,13.267750979166667,1,1
P1-RRoute5,P2-RRoute23,11.05933261138889,11.05933261138889,11.05933261138889,1,1
P1-RRoute5,P2-RRoute24,0.47696995166666667,0.47696995166666667,0.47696995166666667,1,1
P1-RRoute5,P2-RRoute25,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute5,P2-RRoute26,14.937811909166667,14.937811909166667,14.937811909166667,1,1
P1-RRoute5,P2-RRoute27,1.3374448047222223,1.3374448047222223,1.3374448047222223,1,1
P1-RRoute5,P2-RRoute29,0.0,0.0,0.0,1,1
P1-RRoute5,P2-RRoute30,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute5,P2-RRoute31,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute5,P2-RRoute32,13.560647868055556,13.560647868055556,13.560647868055556,1,1
P1-RRoute5,P2-RRoute33,1.4634977597222223,1.4634977597222223,1.4634977597222223,1,1
P1-RRoute5,P2-RRoute34,2.2404443755555556,2.2404443755555556,2.2404443755555556,1,1
P1-RRoute5,P2-RRoute35,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute5,P2-RRoute36,7.627025673055555,7.627025673055555,7.627025673055555,1,1
P1-RRoute5,P2-RRoute4,1.1565780219444444,1.1565780219444444,1.1565780219444444,1,1
P1-RRoute5,P2-RRoute5,1.8717847605555555,1.8717847605555555,1.8717847605555555,1,1
P1-RRoute5,P2-RRoute6,1.1565780219444444,1.1565780219444444,1.1565780219444444,1,1
P1-RRoute5,P2-RRoute7,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute5,P2-RRoute8,0.0,0.0,0.0,1,1
P1-RRoute5,P2-RRoute9,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute6,P1-RRoute01,0.0,0.0,0.0,1,1
P1-RRoute6,P1-RRoute02,0.0,0.0,0.0,1,1
P1-RRoute6,P1-RRoute10,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute6,P1-RRoute11,5.086861886388888,5.086861886388888,5.086861886388888,1,1
P1-RRoute6,P1-RRoute12,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute6,P1-RRoute13,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute6,P1-RRoute14,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute6,P1-RRoute16,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute6,P1-RRoute17,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute6,P1-RRoute18,2.0298032716666667,2.0298032716666667,2.0298032716666667,1,1
P1-RRoute6,P1-RRoute19,0.0,0.0,0.0,1,1
P1-RRoute6,P1-RRoute20,0.0,0.0,0.0,1,1
P1-RRoute6,P1-RRoute21,30.946129319722225,30.946129319722225,30.946129319722225,1,1
P1-RRoute6,P1-RRoute22,0.0,0.0,0.0,1,1
P1-RRoute6,P1-RRoute23,0.47696995166666667,0.47696995166666667,0.47696995166666667,1,1
P1-RRoute6,P1-RRoute24,11.05933261138889,11.05933261138889,11.05933261138889,1,1
P1-RRoute6,P1-RRoute25,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute6,P1-RRoute26,7.627025673055555,7.627025673055555,7.627025673055555,1,1
P1-RRoute6,P1-RRoute3,0.0,0.0,0.0,1,1
P1-RRoute6,P1-RRoute32,12.993435129444444,12.993435129444444,12.993435129444444,1,1
P1-RRoute6,P1-RRoute33,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute6,P1-RRoute34,2.2404443755555556,2.2404443755555556,2.2404443755555556,1,1
P1-RRoute6,P1-RRoute35,1.4634977597222223,1.4634977597222223,1.4634977597222223,1,1
P1-RRoute6,P1-RRoute36,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute6,P1-RRoute4,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute6,P1-RRoute5,0.0,0.0,0.0,1,1
P1-RRoute6,P1-RRoute6,0.0,0.0,0.0,1,1
P1-RRoute6,P1-RRoute7,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute6,P1-RRoute8,0.0,0.0,0.0,1,1
P1-RRoute6,P1-RRoute9,0.0,0.0,0.0,1,1
P1-RRoute6,P2-RRoute02,15.156378476666667,15.156378476666667,15.156378476666667,1,1
P1-RRoute6,P2-RRoute10,10.044617884722223,10.044617884722223,10.044617884722223,1,1
P1-RRoute6,P2-RRoute11,1.4634977597222223,1.4634977597222223,1.4634977597222223,1,1
P1-RRoute6,P2-RRoute13,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute6,P2-RRoute14,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute6,P2-RRoute15,6.685801375555556,6.685801375555556,6.685801375555556,1,1
P1-RRoute6,P2-RRoute16,6.685801375555556,6.685801375555556,6.685801375555556,1,1
P1-RRoute6,P2-RRoute17,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute6,P2-RRoute18,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute6,P2-RRoute19,5.086861886388888,5.086861886388888,5.086861886388888,1,1
P1-RRoute6,P2-RRoute20,1.3374448047222223,1.3374448047222223,1.3374448047222223,1,1
P1-RRoute6,P2-RRoute21,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute6,P2-RRoute22,13.267750979166667,13.267750979166667,13.267750979166667,1,1
P1-RRoute6,P2-RRoute23,11.05933261138889,11.05933261138889,11.05933261138889,1,1
P1-RRoute6,P2-RRoute24,0.47696995166666667,0.47696995166666667,0.47696995166666667,1,1
P1-RRoute6,P2-RRoute25,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute6,P2-RRoute26,14.937811909166667,14.937811909166667,14.937811909166667,1,1
P1-RRoute6,P2-RRoute27,1.3374448047222223,1.3374448047222223,1.3374448047222223,1,1
P1-RRoute6,P2-RRoute29,0.0,0.0,0.0,1,1
P1-RRoute6,P2-RRoute30,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute6,P2-RRoute31,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute6,P2-RRoute32,13.560647868055556,13.560647868055556,13.560647868055556,1,1
P1-RRoute6,P2-RRoute33,1.4634977597222223,1.4634977597222223,1.4634977597222223,1,1
P1-RRoute6,P2-RRoute34,2.2404443755555556,2.2404443755555556,2.2404443755555556,1,1
P1-RRoute6,P2-RRoute35,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute6,P2-RRoute36,7.627025673055555,7.627025673055555,7.627025673055555,1,1
P1-RRoute6,P2-RRoute4,1.1565780219444444,1.1565780219444444,1.1565780219444444,1,1
P1-RRoute6,P2-RRoute5,1.8717847605555555,1.8717847605555555,1.8717847605555555,1,1
P1-RRoute6,P2-RRoute6,1.1565780219444444,1.1565780219444444,1.1565780219444444,1,1
P1-RRoute6,P2-RRoute7,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute6,P2-RRoute8,0.0,0.0,0.0,1,1
P1-RRoute6,P2-RRoute9,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute7,P1-RRoute10,0.0,0.0,0.0,1,1
P1-RRoute7,P1-RRoute11,4.238086971944444,4.238086971944444,4.238086971944444,1,1
P1-RRoute7,P1-RRoute12,0.0,0.0,0.0,1,1
P1-RRoute7,P1-RRoute13,0.0,0.0,0.0,1,1
P1-RRoute7,P1-RRoute14,0.0,0.0,0.0,1,1
P1-RRoute7,P1-RRoute17,0.0,0.0,0.0,1,1
P1-RRoute7,P1-RRoute18,1.1810283572222222,1.1810283572222222,1.1810283572222222,1,1
P1-RRoute7,P1-RRoute21,30.097354405277777,30.097354405277777,30.097354405277777,1,1
P1-RRoute7,P1-RRoute24,10.210557696944443,10.210557696944443,10.210557696944443,1,1
P1-RRoute7,P1-RRoute26,6.778250758611112,6.778250758611112,6.778250758611112,1,1
P1-RRoute7,P1-RRoute32,12.144660215,12.144660215,12.144660215,1,1
P1-RRoute7,P1-RRoute33,0.0,0.0,0.0,1,1
P1-RRoute7,P1-RRoute34,1.391669461111111,1.391669461111111,1.391669461111111,1,1
P1-RRoute7,P1-RRoute35,0.6147228452777778,0.6147228452777778,0.6147228452777778,1,1
P1-RRoute7,P1-RRoute36,0.0,0.0,0.0,1,1
P1-RRoute7,P1-RRoute4,0.0,0.0,0.0,1,1
P1-RRoute7,P1-RRoute7,0.0,0.0,0.0,1,1
P1-RRoute7,P2-RRoute02,14.307603562222221,14.307603562222221,14.307603562222221,1,1
P1-RRoute7,P2-RRoute10,9.195842970277779,9.195842970277779,9.195842970277779,1,1
P1-RRoute7,P2-RRoute11,0.6147228452777778,0.6147228452777778,0.6147228452777778,1,1
P1-RRoute7,P2-RRoute13,0.0,0.0,0.0,1,1
P1-RRoute7,P2-RRoute14,0.0,0.0,0.0,1,1
P1-RRoute7,P2-RRoute15,5.837026461111111,5.837026461111111,5.837026461111111,1,1
P1-RRoute7,P2-RRoute16,5.837026461111111,5.837026461111111,5.837026461111111,1,1
P1-RRoute7,P2-RRoute19,4.238086971944444,4.238086971944444,4.238086971944444,1,1
P1-RRoute7,P2-RRoute20,0.48866989027777774,0.48866989027777774,0.48866989027777774,1,1
P1-RRoute7,P2-RRoute22,12.418976064722223,12.418976064722223,12.418976064722223,1,1
P1-RRoute7,P2-RRoute23,10.210557696944443,10.210557696944443,10.210557696944443,1,1
P1-RRoute7,P2-RRoute25,0.0,0.0,0.0,1,1
P1-RRoute7,P2-RRoute26,14.089036994722221,14.089036994722221,14.089036994722221,1,1
P1-RRoute7,P2-RRoute27,0.48866989027777774,0.48866989027777774,0.48866989027777774,1,1
P1-RRoute7,P2-RRoute30,0.0,0.0,0.0,1,1
P1-RRoute7,P2-RRoute31,0.0,0.0,0.0,1,1
P1-RRoute7,P2-RRoute32,12.711872953611111,12.711872953611111,12.711872953611111,1,1
P1-RRoute7,P2-RRoute33,0.6147228452777778,0.6147228452777778,0.6147228452777778,1,1
P1-RRoute7,P2-RRoute34,1.391669461111111,1.391669461111111,1.391669461111111,1,1
P1-RRoute7,P2-RRoute36,6.778250758611112,6.778250758611112,6.778250758611112,1,1
P1-RRoute7,P2-RRoute4,0.3078031075,0.3078031075,0.3078031075,1,1
P1-RRoute7,P2-RRoute5,1.0230098461111112,1.0230098461111112,1.0230098461111112,1,1
P1-RRoute7,P2-RRoute6,0.3078031075,0.3078031075,0.3078031075,1,1
P1-RRoute8,P1-RRoute01,0.0,0.0,0.0,1,1
P1-RRoute8,P1-RRoute02,0.0,0.0,0.0,1,1
P1-RRoute8,P1-RRoute10,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute8,P1-RRoute11,5.086861886388888,5.086861886388888,5.086861886388888,1,1
P1-RRoute8,P1-RRoute12,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute8,P1-RRoute13,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute8,P1-RRoute14,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute8,P1-RRoute16,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute8,P1-RRoute17,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute8,P1-RRoute18,2.0298032716666667,2.0298032716666667,2.0298032716666667,1,1
P1-RRoute8,P1-RRoute19,0.0,0.0,0.0,1,1
P1-RRoute8,P1-RRoute20,0.0,0.0,0.0,1,1
P1-RRoute8,P1-RRoute21,30.946129319722225,30.946129319722225,30.946129319722225,1,1
P1-RRoute8,P1-RRoute22,0.0,0.0,0.0,1,1
P1-RRoute8,P1-RRoute23,0.47696995166666667,0.47696995166666667,0.47696995166666667,1,1
P1-RRoute8,P1-RRoute24,11.05933261138889,11.05933261138889,11.05933261138889,1,1
P1-RRoute8,P1-RRoute25,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute8,P1-RRoute26,7.627025673055555,7.627025673055555,7.627025673055555,1,1
P1-RRoute8,P1-RRoute3,0.0,0.0,0.0,1,1
P1-RRoute8,P1-RRoute32,12.993435129444444,12.993435129444444,12.993435129444444,1,1
P1-RRoute8,P1-RRoute33,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute8,P1-RRoute34,2.2404443755555556,2.2404443755555556,2.2404443755555556,1,1
P1-RRoute8,P1-RRoute35,1.4634977597222223,1.4634977597222223,1.4634977597222223,1,1
P1-RRoute8,P1-RRoute36,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute8,P1-RRoute4,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute8,P1-RRoute5,0.0,0.0,0.0,1,1
P1-RRoute8,P1-RRoute6,0.0,0.0,0.0,1,1
P1-RRoute8,P1-RRoute7,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute8,P1-RRoute8,0.0,0.0,0.0,1,1
P1-RRoute8,P1-RRoute9,0.0,0.0,0.0,1,1
P1-RRoute8,P2-RRoute02,15.156378476666667,15.156378476666667,15.156378476666667,1,1
P1-RRoute8,P2-RRoute10,10.044617884722223,10.044617884722223,10.044617884722223,1,1
P1-RRoute8,P2-RRoute11,1.4634977597222223,1.4634977597222223,1.4634977597222223,1,1
P1-RRoute8,P2-RRoute13,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute8,P2-RRoute14,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute8,P2-RRoute15,6.685801375555556,6.685801375555556,6.685801375555556,1,1
P1-RRoute8,P2-RRoute16,6.685801375555556,6.685801375555556,6.685801375555556,1,1
P1-RRoute8,P2-RRoute17,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute8,P2-RRoute18,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute8,P2-RRoute19,5.086861886388888,5.086861886388888,5.086861886388888,1,1
P1-RRoute8,P2-RRoute20,1.3374448047222223,1.3374448047222223,1.3374448047222223,1,1
P1-RRoute8,P2-RRoute21,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute8,P2-RRoute22,13.267750979166667,13.267750979166667,13.267750979166667,1,1
P1-RRoute8,P2-RRoute23,11.05933261138889,11.05933261138889,11.05933261138889,1,1
P1-RRoute8,P2-RRoute24,0.47696995166666667,0.47696995166666667,0.47696995166666667,1,1
P1-RRoute8,P2-RRoute25,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute8,P2-RRoute26,14.937811909166667,14.937811909166667,14.937811909166667,1,1
P1-RRoute8,P2-RRoute27,1.3374448047222223,1.3374448047222223,1.3374448047222223,1,1
P1-RRoute8,P2-RRoute29,0.0,0.0,0.0,1,1
P1-RRoute8,P2-RRoute30,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute8,P2-RRoute31,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute8,P2-RRoute32,13.560647868055556,13.560647868055556,13.560647868055556,1,1
P1-RRoute8,P2-RRoute33,1.4634977597222223,1.4634977597222223,1.4634977597222223,1,1
P1-RRoute8,P2-RRoute34,2.2404443755555556,2.2404443755555556,2.2404443755555556,1,1
P1-RRoute8,P2-RRoute35,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute8,P2-RRoute36,7.627025673055555,7.627025673055555,7.627025673055555,1,1
P1-RRoute8,P2-RRoute4,1.1565780219444444,1.1565780219444444,1.1565780219444444,1,1
P1-RRoute8,P2-RRoute5,1.8717847605555555,1.8717847605555555,1.8717847605555555,1,1
P1-RRoute8,P2-RRoute6,1.1565780219444444,1.1565780219444444,1.1565780219444444,1,1
P1-RRoute8,P2-RRoute7,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute8,P2-RRoute8,0.0,0.0,0.0,1,1
P1-RRoute8,P2-RRoute9,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute9,P1-RRoute01,0.0,0.0,0.0,1,1
P1-RRoute9,P1-RRoute02,0.0,0.0,0.0,1,1
P1-RRoute9,P1-RRoute10,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute9,P1-RRoute11,5.086861886388888,5.086861886388888,5.086861886388888,1,1
P1-RRoute9,P1-RRoute12,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute9,P1-RRoute13,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute9,P1-RRoute14,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute9,P1-RRoute16,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute9,P1-RRoute17,0.8487749144444444,0.8487749144444444,0.8487749144444444,1,1
P1-RRoute9,P1-RRoute18,2.0298032716666667,2.0298032716666667,2.0298032716666667,1,1
P1-RRoute9,P1-RRoute19,0.0,0.0,0.0,1,1
P1-RRoute9,P1-RRoute20,0.0,0.0,0.0,1,1
P1-RRoute9,P1-RRoute21,30.946129319722225,30.946129319722225,30.946129319722225,1,1
P1-RRoute9,P1-RRoute22,0.0,0.0,0.0,1,1
P1-RRoute9,P1-RRoute23,0.47696995166666667,0.47696995166666667,0.47696995166666667,1,1
P1-RRoute9,P1-RRoute24,11.05933261138889,11.05933261138889,11.05933261138889,1,1
P1-RRoute9,P1-RRoute25,0.3014272044444445,0.3014272044444445,0.3014272044444445,1,1
P1-RRoute9,P1-RRoute26,7.627025673055555,7.627025673055555,7.627025673055555,1,1
P1-RRoute9,P1-RRoute3,0.0,0.0,0.0,1,1
P1-RRoute9,P1-RRoute32,12.993435129444444,12.993435129444444,12.993435129444444,1,1
